Date,Nifty,Sensex
25-02-2013,-0.000330218,-0.000329918
26-02-2013,0.006984096,0.007170295
27-02-2013,-0.002671549,-0.003123903
28-02-2013,0.007850811,0.006646281
01-03-2013,-0.002028252,-0.001310009
04-03-2013,0.001612698,0.000932097
05-03-2013,-0.006486503,-0.006058795
06-03-2013,-0.002571447,-0.002475757
07-03-2013,-0.003323613,-0.003615121
08-03-2013,-0.006060877,-0.005991632
11-03-2013,0.000244765,0.000817585
12-03-2013,0.002069564,0.001800706
13-03-2013,0.004643721,0.004515524
14-03-2013,-0.004265372,-0.004638038
15-03-2013,0.002679894,0.003182331
18-03-2013,0.002770953,0.003013993
19-03-2013,0.006697625,0.006465558
20-03-2013,0.003913872,0.002840347
21-03-2013,0.002727463,0.002105252
22-03-2013,0.000568303,0.001325504
25-03-2013,0.001346925,0.001257721
26-03-2013,-0.000597011,-0.000536915
28-03-2013,-0.003140975,-0.003036579
01-04-2013,-0.001666705,-0.000667675
02-04-2013,-0.003314344,-0.004037558
03-04-2013,0.005719187,0.00549288
04-04-2013,0.007579732,0.006796353
05-04-2013,0.001678171,0.001397595
08-04-2013,0.000806264,0.000293156
09-04-2013,0.003765361,0.005005825
10-04-2013,-0.004997636,-0.004455949
11-04-2013,-0.002749226,-0.003002509
12-04-2013,0.00511122,0.007075478
15-04-2013,-0.003119183,-0.002734851
16-04-2013,-0.009301692,-0.009063189
17-04-2013,1.91E-05,0.000319149
18-04-2013,-0.007147671,-0.006565001
22-04-2013,-0.003835498,-0.003488587
23-04-2013,-0.000186052,-0.000215849
25-04-2013,-0.005867935,-0.005120938
26-04-2013,0.003304821,0.002696674
29-04-2013,-0.002408338,-0.002263435
30-04-2013,-0.001915636,-0.002605885
02-05-2013,-0.005034859,-0.005126379
03-05-2013,0.004025399,3.54E-03
06-05-2013,-0.001971907,-0.00216875
07-05-2013,-0.005241412,-0.004727136
08-05-2013,-0.001846485,-0.002204849
09-05-2013,0.001372463,0.00111246
10-05-2013,-0.003189754,-0.003116126
11-05-2013,-0.000889802,-0.000857681
13-05-2013,0.009111834,0.009395502
14-05-2013,-0.0010843,-0.000674791
15-05-2013,-0.010827386,-0.010672576
16-05-2013,-0.001632575,-0.000737845
17-05-2013,-0.001223049,-0.000831229
20-05-2013,0.002139074,0.001332363
21-05-2013,0.003029562,0.002419788
22-05-2013,0.001394456,0.001067417
23-05-2013,0.009178404,0.00847947
24-05-2013,-0.001199247,-0.000661721
27-05-2013,-0.007169601,-0.007135972
28-05-2013,-0.002001525,-0.002810548
29-05-2013,0.000494181,0.00028401
30-05-2013,-0.001402859,-0.001458157
31-05-2013,0.009905643,0.009888805
03-06-2013,0.003397822,0.00330531
04-06-2013,0.001453906,0.001435218
05-06-2013,-0.000322697,-0.000498316
06-06-2013,0.000179654,0.001082856
07-06-2013,0.00297322,0.002012877
10-06-2013,0.000221598,-2.65E-04
11-06-2013,0.006641037,0.006710165
12-06-2013,2.15E-03,0.002317281
13-06-2013,0.004631285,0.004907905
14-06-2013,-0.008250239,-0.008016916
17-06-2013,-0.003103061,-0.003337325
18-06-2013,0.002714431,0.002311562
19-06-2013,-0.000645702,-0.00050622
20-06-2013,0.012589127,0.012044339
21-06-2013,-0.000901301,-0.001272993
24-06-2013,0.005971793,0.005431788
25-06-2013,-0.001461952,-0.002062462
26-06-2013,0.001582385,0.001799495
27-06-2013,-0.007217183,-0.007515274
28-06-2013,-0.01204844,-0.011799103
01-07-2013,-0.004190932,-0.004046871
02-07-2013,0.003051348,0.002526713
03-07-2013,6.47E-03,0.0064302
04-07-2013,-0.004942424,-0.00524645
05-07-2013,-0.002296731,-0.001897177
08-07-2013,0.004190725,0.003827173
09-07-2013,-0.003531519,-0.00257031
10-07-2013,0.003146833,0.003259668
11-07-2013,-0.008751375,-0.008513163
12-07-2013,-0.005374163,-0.006189107
15-07-2013,-0.001572722,-0.001650829
16-07-2013,0.005474928,0.003990653
17-07-2013,-0.001314329,-0.002127831
18-07-2013,-0.004682378,-0.003894218
19-07-2013,0.000637015,-0.000462347
22-07-2013,-0.000187242,-0.000199753
23-07-2013,-0.003299472,-0.003070034
24-07-2013,0.006283332,0.004546968
25-07-2013,0.006059342,0.006225053
26-07-2013,0.001568716,0.001242287
29-07-2013,0.004043563,0.003420152
30-07-2013,0.00574235,0.005463434
31-07-2013,0.000985913,5.93E-05
01-08-2013,0.001071552,0.000640497
02-08-2013,0.003803897,0.003457336
05-08-2013,-0.000573286,-0.000413158
06-08-2013,0.011074913,0.010291513
07-08-2013,0.001817849,0.001583058
08-08-2013,-0.003647629,-0.002886323
12-08-2013,-0.003632724,-0.003628471
13-08-2013,-0.006672902,-0.006435674
14-08-2013,-0.00326436,-0.003099912
16-08-2013,0.018103774,0.017605136
19-08-2013,0.007403694,0.006840929
20-08-2013,0.00106805,0.001460895
21-08-2013,0.008025588,0.008172225
22-08-2013,-0.008588047,-0.009761675
23-08-2013,-0.005053427,-0.004869778
26-08-2013,-0.000376845,-0.000906363
27-08-2013,0.015256818,0.01403254
28-08-2013,0.000201282,-0.000677932
29-08-2013,-0.010076004,-0.009662765
30-08-2013,-0.005009219,-0.005130776
02-09-2013,-0.006221453,-0.006169829
03-09-2013,0.0166925,0.015245305
04-09-2013,-0.008585903,-0.007856932
05-09-2013,-0.011395866,-0.009536114
06-09-2013,-0.006737982,-0.00659235
10-09-2013,-0.016233797,-0.016083734
11-09-2013,-0.00120618,-7.82E-06
12-09-2013,0.004611066,0.004707057
13-09-2013,7.42E-06,0.001079729
16-09-2013,0.000746661,-0.000213653
17-09-2013,-0.000716967,-0.001352089
18-09-2013,-0.003640811,-0.003453957
19-09-2013,-0.015623997,-0.014641853
20-09-2013,0.007409326,0.008130424
23-09-2013,0.008929335,0.007844935
24-09-2013,-0.000199045,-0.000419886
25-09-2013,0.001373054,0.001396899
26-09-2013,-0.000620627,-0.000821826
27-09-2013,0.003636611,0.00365185
30-09-2013,0.007350727,0.00771837
01-10-2013,-0.003375456,-0.003067781
03-10-2013,-0.00963384,-0.008481849
04-10-2013,0.000176408,-0.000302778
07-10-2013,8.46E-05,0.000454901
08-10-2013,-0.001633026,-0.001927819
09-10-2013,-0.005752666,-0.005735211
10-10-2013,-0.000974856,-0.000506936
11-10-2013,-0.005394186,-0.005443029
14-10-2013,-0.001173875,-0.00166703
15-10-2013,0.001683542,0.001264626
17-10-2013,0.003092172,0.002801292
18-10-2013,-0.010187674,-0.009830367
21-10-2013,-0.001093244,-0.000228703
22-10-2013,0.000150508,0.000601539
23-10-2013,0.001715271,0.002025599
24-10-2013,0.000985218,0.000888616
25-10-2013,0.001372469,0.000879099
28-10-2013,0.003106676,0.002384247
29-10-2013,-0.008445077,-0.007508482
30-10-2013,-0.002144909,-0.002172565
31-10-2013,-0.003283821,-0.002687173
01-11-2013,-0.000554652,-0.000662084
03-11-2013,-6.98E-04,-8.71E-04
05-11-2013,0.004436092,0.005443805
06-11-2013,0.002647232,0.001656493
07-11-2013,0.00195395,0.001502626
08-11-2013,0.003276247,0.003278925
11-11-2013,0.004403562,0.003697272
12-11-2013,0.004362063,0.004453454
13-11-2013,0.002057972,0.001877897
14-11-2013,-0.004798803,-0.004386865
18-11-2013,-0.009423859,-0.009503653
19-11-2013,-0.001005803,-0.000834014
20-11-2013,0.005669119,0.005348278
21-11-2013,0.008874685,0.008631721
22-11-2013,0.000260696,0.000250399
25-11-2013,-0.008599533,-0.008249216
26-11-2013,0.004013198,0.003811815
27-11-2013,0.000143376,0.000101223
28-11-2013,-0.002484457,-0.002431536
29-11-2013,-0.005965118,-0.005402001
02-12-2013,-0.002925922,-0.002210128
03-12-2013,0.001118983,0.000896404
04-12-2013,0.002873574,0.003055482
05-12-2013,-0.005613457,-0.005192852
06-12-2013,-0.001306254,-0.000801628
09-12-2013,-0.007155951,-0.006770431
10-12-2013,0.002124145,0.001451536
11-12-2013,0.001714402,0.001716639
12-12-2013,0.004905574,0.005071656
13-12-2013,0.004806697,0.00438103
16-12-2013,0.00096564,1.18E-03
17-12-2013,0.001105718,0.000997143
18-12-2013,-0.005490175,-0.005188306
19-12-2013,0.003542046,3.16E-03
20-12-2013,-0.007512519,-0.007713679
23-12-2013,-0.000708911,-4.39E-04
24-12-2013,0.001114029,0.001408421
26-12-2013,-0.000726864,-0.000863901
27-12-2013,-0.002407254,-0.002445189
30-12-2013,0.001564232,0.001037508
31-12-2013,-0.000889616,-0.000567993
01-01-2014,0.000161926,0.000619964
02-01-2014,0.005583605,0.005211124
03-01-2014,0.000698655,0.000769958
06-01-2014,0.001379648,0.001335678
07-01-2014,0.002053057,0.001969589
08-01-2014,-8.70E-04,-0.000757818
09-01-2014,0.00043982,0.00033555
10-01-2014,-0.000218207,-0.000944996
13-01-2014,-0.007070764,-0.007790259
14-01-2014,0.002144651,0.002087274
15-01-2014,-0.005465592,-0.005266514
16-01-2014,0.000137437,0.000496195
17-01-2014,0.003952694,0.004136052
20-01-2014,-0.002923971,-0.00290629
21-01-2014,-0.000678061,-0.000942523
22-01-2014,-0.001726505,-0.001765171
23-01-2014,-0.000458788,-0.000731902
24-01-2014,0.005433745,0.004906235
27-01-2014,0.009167636,0.00884604
28-01-2014,0.000680019,0.000502381
29-01-2014,0.000425553,0.000760973
30-01-2014,0.003315826,0.003146482
31-01-2014,-0.001128298,-0.00033039
03-02-2014,0.006300116,0.006496764
04-02-2014,6.51E-05,-5.74E-05
05-02-2014,-0.001553208,-0.001053734
06-02-2014,-0.001001218,-0.001064227
07-02-2014,-0.001931078,-0.001405121
10-02-2014,0.000698934,0.000902282
11-02-2014,-0.000663119,-0.000621067
12-02-2014,-0.001523127,-0.001811591
13-02-2014,0.005958342,0.005452871
14-02-2014,-0.003406051,-0.003714852
17-02-2014,-0.00178782,-0.002068575
18-02-2014,-0.003830234,-0.003596046
19-02-2014,-0.001814301,-0.001864152
20-02-2014,0.004348585,0.003922608
21-02-2014,-0.004539124,-0.00345669
24-02-2014,-0.002157128,-0.002316051
25-02-2014,-0.000978256,-0.000855374
26-02-2014,-0.002705872,-0.002792651
28-02-2014,-0.002647606,-0.002746226
03-03-2014,0.003857054,0.003581805
04-03-2014,-0.005307593,-0.005420564
05-03-2014,-0.00211187,-1.37E-03
06-03-2014,-0.004946926,-0.004811004
07-03-2014,-0.008432319,-0.008117849
10-03-2014,-0.00070477,-0.000297884
11-03-2014,0.001687371,0.002151765
12-03-2014,-0.000333334,-0.000592546
13-03-2014,0.001588965,0.001624668
14-03-2014,-0.000741796,-0.000701298
18-03-2014,-0.000830509,-0.000453974
19-03-2014,-0.000492885,-4.97E-06
20-03-2014,0.00273456,0.001849292
21-03-2014,-0.000676059,-0.000272796
22-03-2014,-0.000113689,-3.13E-05
24-03-2014,-0.005884371,-0.005951038
25-03-2014,-0.000412099,5.32E-06
26-03-2014,-0.00076711,-0.000788705
27-03-2014,-0.002646476,-0.002334099
28-03-2014,-0.003526435,-0.002448584
31-03-2014,-0.000538003,-0.000899152
01-04-2014,-0.001090165,-0.001165734
02-04-2014,-0.002030682,-0.00202777
03-04-2014,0.001059283,0.00081769
04-04-2014,0.002700111,0.002895464
07-04-2014,-4.54E-05,0.000311855
09-04-2014,-0.006512326,-0.006920391
10-04-2014,-1.28E-05,-0.000248427
11-04-2014,0.001286306,0.001654456
15-04-2014,0.00277756,0.002773055
16-04-2014,0.003744276,0.004030351
17-04-2014,-0.006720471,-0.006801103
21-04-2014,-0.002443443,-0.00260212
22-04-2014,0.000146538,0.000123258
23-04-2014,-0.00161873,-0.002249186
25-04-2014,0.003701083,0.003592786
28-04-2014,0.001378816,0.001082103
29-04-2014,0.002964809,0.003186023
30-04-2014,0.001220798,0.000936437
02-05-2014,0.00010378,0.000269559
05-05-2014,-0.00029506,-0.0007985
06-05-2014,-0.001032752,-0.001223079
07-05-2014,0.004077272,0.003574942
08-05-2014,-0.0004763,-0.000391632
09-05-2014,-0.012783692,-0.012457171
12-05-2014,-0.009733102,-0.010390481
13-05-2014,-0.005812,-0.005865445
14-05-2014,0,0.001022023
15-05-2014,-0.000878849,-0.001646874
16-05-2014,-0.004841325,-0.003908984
19-05-2014,-0.003635516,-0.004323024
20-05-2014,-0.000713915,-0.000246463
21-05-2014,0.001351155,0.001407234
22-05-2014,-0.001404876,-0.001363049
23-05-2014,-0.00538,-0.005646078
26-05-2014,4.75E-04,-4.14E-04
27-05-2014,0.002429349,0.002950821
28-05-2014,-0.000690832,-0.000116388
29-05-2014,0.005605686,0.005731425
30-05-2014,0.000342257,0.000301353
02-06-2014,-0.007890014,-0.008304053
03-06-2014,-0.003135629,-0.003045999
04-06-2014,0.000797188,0.000922728
05-06-2014,-0.004195156,-0.003725037
06-06-2014,-0.00630506,-0.006494385
09-06-2014,-0.004058537,-0.003130921
10-06-2014,-0.000102114,-5.91E-05
11-06-2014,0.00167941,0.001867915
12-06-2014,-0.001310553,-0.00174092
13-06-2014,0.006163472,0.00595044
16-06-2014,0.000492611,0.000649306
17-06-2014,-0.005621615,-0.005664478
18-06-2014,0.00420291,0.004704042
19-06-2014,0.001006717,0.000765318
20-06-2014,0.001687882,0.001662513
23-06-2014,0.001047763,0.001285296
24-06-2014,-0.005004646,-0.005817884
25-06-2014,0.000627815,0.000945321
26-06-2014,0.004385525,0.004328979
27-06-2014,-0.000903212,-0.000645001
30-06-2014,-0.005891156,-0.005396929
01-07-2014,-0.001330283,-0.001749285
02-07-2014,-0.005114944,-0.005494295
03-07-2014,0.000582249,0.000293537
04-07-2014,-0.002066682,-0.002319841
07-07-2014,-0.001987186,-0.002302689
08-07-2014,0.009241226,0.008705476
09-07-2014,0.002181729,0.00233715
10-07-2014,0.000988808,0.001231672
11-07-2014,0.006251236,0.006004735
14-07-2014,0.000317412,0.000301559
15-07-2014,-0.004203593,-0.003832765
16-07-2014,-0.005603951,-0.005492133
17-07-2014,-0.000913265,-0.000194414
18-07-2014,-0.001330891,-0.001363885
21-07-2014,-0.001148831,-0.001244956
22-07-2014,-0.004702171,-0.005214688
23-07-2014,-0.001557073,-0.00202326
24-07-2014,-0.001937137,-2.06E-03
25-07-2014,0.002232495,0.002405266
28-07-2014,2.33E-03,0.002258557
30-07-2014,-0.002386654,-1.60E-03
31-07-2014,0.003925074,0.003215718
01-08-2014,0.006728285,0.007001671
04-08-2014,-0.004605433,-0.004110578
05-08-2014,-0.003540754,-0.003109737
06-08-2014,0.004196904,0.004088219
07-08-2014,0.001292569,0.001292353
08-08-2014,0.004606171,0.00443304
11-08-2014,-0.003281269,-0.003247292
12-08-2014,-0.005719769,-0.006109457
13-08-2014,-0.000701988,-0.000640211
14-08-2014,-0.002916512,-0.003076846
18-08-2014,-0.004576976,-0.004760938
19-08-2014,-0.001280435,-0.000488638
20-08-2014,0.001222528,0.00175217
21-08-2014,-0.00087044,-0.000755562
22-08-2014,-0.001214595,-0.000978198
25-08-2014,0.000378853,-2.87E-04
26-08-2014,8.52E-05,-9.51E-05
27-08-2014,-0.001716256,-0.001922919
28-08-2014,-0.001000301,-0.001272885
01-09-2014,-0.003986438,-0.003724658
02-09-2014,-0.002984131,-0.002447474
03-09-2014,-0.001691851,-0.001933343
04-09-2014,0.000999299,0.000865131
05-09-2014,0.00048843,0.000950731
08-09-2014,-0.004649933,-0.00468529
09-09-2014,0.001114541,0.000867711
10-09-2014,0.003146213,0.003324377
11-09-2014,0.000450942,0.000988894
12-09-2014,-0.001062186,-0.001047155
15-09-2014,0.003415741,0.003941417
16-09-2014,0.005932089,0.005279959
17-09-2014,-0.00232594,-0.002269097
18-09-2014,-0.007517225,-0.007772716
19-09-2014,-0.00035843,0.000349181
22-09-2014,-0.001326825,-0.001860768
23-09-2014,6.92E-03,0.006935835
24-09-2014,0.000821421,0.000503103
25-09-2014,0.004942211,0.004510535
26-09-2014,-0.003117607,-0.002584114
29-09-2014,0.000542604,0.000476698
30-09-2014,-0.000321827,-0.000545034
01-10-2014,0.00105091,0.001020785
07-10-2014,0.005121551,0.00486606
08-10-2014,0.000536812,0.000416443
09-10-2014,-0.006477472,-0.006413679
10-10-2014,0.005523291,0.005577394
