ABSL ETF,ABSL Nifty50,Franklin India,HDFC Index,ICICI ETF,ICICI Nifty,IDBI Nifty,IDFC ETF,IDFC Nifty,LIC MF,Nippon,SBI Nifty,Tata Index,Taurus Nifty,UTI ETF,UTI Nifty,Nifty 50
0.003659105,0.003624,0.003522321,0.004045484,-0.001188952,0.002846763,0.003694828,-0.001673162,-0.001665337,-0.001541329,0.003646856,-0.001502084,0.00371449,0.00295565,0.001074791,0.003695334,-0.000782987
-0.001576126,-0.00137,-0.001440608,-0.001536432,-0.007101101,-0.000382221,-0.001569517,-0.001428131,-0.001448346,0.006325774,-0.00158011,0.00640943,-0.001569734,-0.000883159,0.004478194,-0.001559558,0.003680928
0.00644753,0.006463,0.006142532,0.006485464,-0.002216377,0.005725916,0.006513325,0.001683842,0.001690949,0.004626606,0.006475659,0.004789613,0.006610603,0.006370091,6.48E-05,0.006501597,-0.001591204
0.004722344,0.004764,0.004771359,0.004757543,0.000503311,0.003016629,0.004744467,-0.001181123,-0.001189462,0.000178186,0.004692557,0.000139634,0.004722294,0.002902859,0.002074998,0.004746668,0
0.000173584,0.00011,0.000234766,0.000317224,-0.00216527,0.002364603,0.000189977,0.000724634,0.000724406,-0.009086464,0.000182671,-0.00923564,0.000219627,0.000119894,0.006990114,0.000202599,0.00644941
-0.009253694,-0.00909,-0.008751202,-0.00907071,0.009166718,-0.010625778,-0.009251448,-0.000919607,-0.000933059,-0.002179838,-0.009309034,-0.002231464,-0.009257433,-0.00670735,0.001124067,-0.009250672,0.004792594
-0.002266155,-0.00221,-0.002084955,-0.002128551,0.003401622,-0.004116833,-0.002213536,0.00231214,0.002345342,-0.005480024,-0.002269233,-0.005557182,-0.002177899,-0.002167998,-0.002412723,-0.002202806,0.000162168
-0.005523938,-0.00556,-0.005226102,-0.005610453,0.001447263,-0.003577451,-0.005516853,0.000253258,0.000254432,-0.002683508,-0.005543686,-0.002712024,-0.005603336,-0.005366667,-0.0016634,-0.00551864,-0.009308398
-0.002704886,-0.0027,-0.002574455,-0.002711224,-0.000316682,-0.00407245,-0.002669018,-0.000495113,-0.000510944,0.006398436,-0.002743106,0.006474255,-0.002746714,-0.002699246,0.005765543,-0.002669755,-0.002111956
0.00642776,0.006561,0.0062989,0.00683919,-3.65E-06,0.008314596,0.006484859,0.00174509,0.001762952,0.00498898,0.006590153,0.005088954,0.006566966,0.006237869,-0.006045048,0.016635428,-0.005631526
0.00501889,0.005192,0.005143397,0.00509927,0.002937032,0.005468351,0.00507544,-0.000445963,-0.000436377,0.004869997,0.005050165,0.004969908,0.005124079,0.004845249,-0.000748033,-0.00141974,-0.002742897
0.00493824,0.00501,0.004891374,0.004755953,0.00023065,0.006350852,0.004955542,-0.003082077,-0.00310905,-0.001423472,0.004973551,-0.001431446,0.00496293,0.004735987,0.00039129,-0.007326515,0.006680099
-1.44E-03,-1.46E-03,-1.43E-03,-1.46E-03,6.57E-03,-0.003705202,-1.44E-03,1.79E-06,1.55E-05,-7.18E-03,-1.45E-03,-7.43E-03,-1.47E-03,-6.42E-04,9.58E-04,1.12E-02,0.005082477
-0.007386892,-0.00734,-0.007176642,-0.007327898,0.002155164,-0.00894705,-0.007314908,0.000877533,0.000891467,0.010962758,-0.007436697,0.011388733,-0.007341926,-0.007246232,-0.002805915,-0.004085166,0.004998067
1.12E-02,0.011268,1.10E-02,1.12E-02,4.16E-03,0.011704971,1.12E-02,6.56E-05,8.01E-05,3.66E-03,1.13E-02,3.68E-03,1.12E-02,1.11E-02,-3.16E-03,7.82E-03,-0.001468031
-0.004180724,-0.00405,-0.003943304,-0.004077208,-0.008145852,-0.004182674,-0.004097045,0.002416778,0.002432929,-0.004775027,-0.004209461,-0.004846635,-0.00411393,-0.004041796,0.000391024,-0.004928389,-0.007355572
0.007813232,0.007835,0.00765268,0.007791215,-0.003090229,0.006330244,0.007859112,0.002800822,0.002836224,0.003946695,0.007841574,0.004004669,0.007858398,0.007756859,-0.001047322,0.004018091,0.011192719
-0.00479722,-0.00488,-0.004815722,-0.004881045,0.002676678,-0.002809918,-0.004868079,0.000897375,0.000893095,0.001297417,-0.004866409,0.001446199,-0.004882858,-0.005656266,0.001260443,0.001343156,-0.004112883
0.00394797,0.004062,0.003992697,0.004028851,-0.000622923,0.004754762,0.004036646,-0.000866901,-0.000861552,-0.009463982,0.003988664,-0.009568288,0.004019991,0.003976295,0.003601484,-0.009612627,0.007799922
0.001396254,0.001362,0.001432769,0.001360409,0.01240188,-0.002986248,0.001343533,-0.000807519,-0.00079463,-0.001758014,0.001409335,4.82E-06,0.001360534,0.001329066,0.004454688,-0.00177414,-0.004906338
-0.009643154,-0.0095,-0.009535491,-0.009579711,-0.000916332,-0.01150469,-0.00966299,-0.004208608,-0.004267839,-0.003217554,-0.009705619,-0.00491017,-0.009627249,-0.009492035,0.000872651,-0.003272922,0.004027623
-0.001754688,-1.77E-03,-1.76E-03,-1.78E-03,5.91E-03,-0.003400716,-1.77E-03,7.60E-05,7.35E-05,2.84E-03,-1.79E-03,0.002925435,-3.16E-03,-0.001690607,3.49E-03,2.90E-03,0.001331311
-0.003256893,-0.0032,-0.003297311,-0.003243493,-0.001423833,-0.005410255,-0.00327722,-0.001093657,-0.001103389,0.007171997,-0.003294862,0.007364403,-0.003281706,-0.00313975,0.004942787,0.007335207,-0.00968
0.002907293,0.002928,0.002925775,0.002891829,0.001554206,0.000740501,0.002912825,-0.001826342,-0.001833512,-0.00071793,0.002603053,-0.000796121,0.002918886,0.0027849,-0.00394084,-0.00074554,-0.001829109
