HDFC Index,IDFC,LIC,Nippon,Tata,Sensex
0.002016673,-0.001069274,0.001987878,0.002030394,0.002027086,-0.003016775
-0.000542854,0.003162466,-0.000534737,-0.000575318,-0.000568901,0.002003307
-0.001886461,-0.000429466,-0.001805909,-0.001877092,-0.001869896,-0.000590527
-0.008538784,-0.001506746,-0.00837521,-0.008611396,-0.008500893,-0.001846596
0.001140063,0.002920772,-0.002000524,0.001148569,0.001207375,-0.008525466
-0.003205191,0.00090151,-0.003177254,-0.003289697,-0.003196888,0.001156801
-0.003248959,-0.006337901,0.006637816,-0.003318445,-0.003213403,-0.003226179
0.006752313,-0.004015212,0.001583197,0.006775999,0.006695623,-0.003294308
0.001634458,-0.001119216,0.003679997,0.001607795,0.001634641,0.006729623
0.00373599,-0.000688292,0.011556894,0.003758166,0.003689596,0.001600563
0.011745757,0.000194555,-0.006893939,0.011802303,0.011756551,0.003737877
-0.007016844,-0.000331025,-0.000510697,-0.00709251,-0.007014632,0.011734872
-0.000500259,-0.00187189,0.00408532,-0.000520231,-0.00048289,-0.007046524
0.004164325,-0.001097005,-0.001263754,0.004159018,0.004153377,-0.000527756
-0.001273634,0.001641349,0.006704878,-0.001307787,-0.001288609,0.004146991
0.006794915,-0.001107923,0.004619604,0.006795391,0.006772641,-0.001302856
0.004674485,0.000798251,0.000700923,0.004685697,0.004690307,-0.00000468
0.000718054,-0.000660054,-0.008742316,0.000699658,0.000712273,0.006802955
-0.008919545,0.002299637,-0.002081421,-0.008947378,-0.008899398,0.00476801
-0.002149818,-0.000329246,-0.00542652,-0.002114105,-0.00211156,0.000702843
-0.005432702,-0.000722826,-0.002500019,-0.005250737,-0.005424169,-0.008967787
-0.002511119,0.00106932,0.0056579,-0.00242912,-0.002552839,-0.002089861
0.005704594,0.00026214,0.005070018,0.005575994,0.005710389,-0.005543875
0.005068215,-0.003583724,0.004678142,0.004960856,0.00504637,-0.002568857
4.79E-03,-4.82E-05,-1.03E-03,4.66E-03,0.004775818,0.005940733
-0.001040343,0.00039907,-0.006884355,-0.001040537,-1.02E-03,0.005181879
-0.007146638,-4.75E-05,0.009854647,-0.006975697,-0.007179992,4.82E-03
0.01024568,0.001972339,0.003602808,0.009938193,0.010190553,-0.001075016
-0.004198334,0.002320764,-0.005027263,-0.004119169,-0.004235789,-0.00710277
0.007507111,0.001791611,0.003354977,0.00758978,0.007802699,0.010115555
-0.004749709,-0.001160582,0.001568855,-0.004977731,-0.005137082,-0.004153942
0.003365874,-0.001016595,-0.008498689,0.003259867,0.003368793,0.007798059
0.001588848,-0.004128911,-0.001757848,0.001602429,0.001688471,-0.00517917
-0.00845707,0.000160737,-0.00286518,-0.008329539,-0.008672995,0.003429505
-0.001809796,-0.000486584,0.002712371,-0.001736112,-0.001749481,0.001601214
-0.002917605,-0.001917966,0.006533524,-0.002815376,-0.002880542,-0.008710425
0.00276855,0.000120475,-0.000521627,0.002666742,0.002786231,-0.001841397
0.006625837,-0.004814595,0.001114102,0.006318023,0.00665171,-0.002953537
-0.000544473,-0.000422098,-0.003272115,-0.000581955,-0.000615731,0.002758029
0.001143483,-0.000787146,0.005890554,0.001091807,0.001134372,0.006603855
-0.003337826,-0.00347931,-0.001356569,-0.003293052,-0.003407706,-0.000546869
0.005987005,-0.000110477,-5.07E-03,0.005867036,0.00602177,0.001120688
-0.001401072,-0.000750552,-0.000831887,-0.001401137,-1.44E-03,-0.003350919
-0.005151713,0.004889726,-0.002696001,-0.004920296,-0.005076597,0.006007559
-0.000851655,-0.003279886,0.00317996,-0.000747686,-0.000846029,-0.001431524
-0.002760364,0.000587468,0.006882953,-0.002773216,-0.002804839,-0.005210002
0.003248197,-0.00166467,-0.002732524,0.003257776,0.003144085,-0.000861082
0.00701152,-0.002963346,0.001414919,0.007040378,0.007129434,-0.002770844
-0.002791556,0.000235652,0.000532803,-0.002800696,-0.002782488,0.003234292
0.001406049,-0.002053716,-7.19E-05,0.001424217,0.001359749,0.006984035
5.43E-04,-9.56E-06,-4.50E-03,5.33E-04,0.000537559,-2.80E-03
-7.73E-05,0.000967769,0.000447238,-8.89E-05,-9.94E-05,0.001415688
-0.004575658,-0.002713122,0.003745006,-0.00464101,-0.004565784,0.000522441
0.000435911,-0.00078798,0.008036805,0.000429756,0.000448517,-0.0000908
0.003803765,0.001299789,-0.002020782,0.003782538,0.003834873,-0.001343569
0.008167925,0.003171511,0.009344687,0.008138991,0.008193513,-0.003309379
-0.002042339,-0.001157349,0.001734819,-0.002066315,-0.002029246,0.000423999
0.009209236,0.000696039,0.001564879,0.009422864,0.009526347,0.003799791
0.001769149,0.003456045,0.003336367,0.001736421,0.001768394,0.008182274
0.00159179,0.002911228,0.002037972,0.001525084,0.001606256,-0.002101218
0.003335434,0.003616396,-0.002940993,0.003280686,0.003385664,0.009515458
0.002038346,0.004104752,0.007770962,0.001978164,0.002080426,0.001751606
-0.002963083,-0.003211817,-0.001050363,-0.002911765,-0.002991128,0.00157
0.00795215,-0.004363629,-0.00224267,0.00766518,0.007927831,0.003373951
-0.001069758,-0.000337058,-0.000788521,-0.000998308,-0.00106842,0.00206
-0.002232734,0.003675333,0.004209044,-0.002294641,-0.002231164,-0.003000191
-0.000815974,0.003635197,0.0020726,-0.000830412,-0.000797717,0.008003681
0.004258535,-0.000454608,-0.007998788,0.004240632,0.00426294,-0.001092888
0.002132067,-0.003767599,0.000122939,0.002082629,0.00211183,-0.002217623
-0.008086902,-0.000518084,-0.00514218,-0.008133583,-0.008141387,-0.00081954
0.000129828,-0.002090001,-0.000561969,0.00011017,0.000126974,0.004229763
-0.005193023,0.004926264,0.003175195,-0.005251429,-0.005249937,0.00213
-0.000566652,-0.003510059,0.001389529,-0.000576572,-0.000560421,-0.007403478
0.003297949,-0.001123473,0.00666601,0.003186135,0.003321816,0.000119953
0.00140715,-0.002155252,-0.000557136,0.001365612,0.001437431,-0.00529709
0.006743106,0.00255676,-0.000837974,0.006703515,0.006817148,-0.000574734
-0.000570913,-0.001441152,-0.011285193,-0.000607627,-0.000597159,0.003353093
-0.000852037,0.001990828,-0.005247668,-0.000890393,-0.000873012,0.002499718
-1.14E-02,-7.93E-05,-1.76E-03,-1.11E-02,-0.011525842,6.84E-03
-0.005324795,-0.000335362,0.000596854,-0.005224545,-5.36E-03,-0.00063173
-0.00177767,-0.00271108,-0.005063057,-0.001757858,-0.001783496,-0.000874857
0.000576243,-0.003688924,-0.000444926,0.000581603,0.000656451,-0.01159955
-0.005016617,-0.000364651,0.005153372,-0.004863537,-0.00507812,-0.005110046
-0.00043893,-0.000735317,-0.006861751,-0.000453836,-0.000451322,-0.001817463
0.005213975,-0.000404613,0.006179663,0.005173234,0.005256691,0.001323169
-0.006946542,-0.002030553,-0.003892106,-0.006931322,-0.007002592,-0.005045937
0.006449464,0.000276311,-0.000862323,0.006232657,0.006350824,-0.000455874
-4.01E-03,2.35E-05,-3.41E-03,-3.93E-03,-0.003965323,5.24E-03
-0.000914634,0.000348575,0.001039121,-0.000928465,-8.85E-04,-0.007024502
-0.003449588,0.005939519,0.002289386,-0.003432802,-0.003456669,0.006297289
0.001052626,0.003966088,-0.000588839,0.001031187,0.001064459,-0.003984361
0.002265092,0.000385043,-0.00152916,0.002254088,0.0023352,-0.000947676
-0.0005963,0.005963721,-0.000913289,-0.000626433,-0.000594993,-0.003479833
-0.001528719,-0.001602332,-0.010882415,-0.001554279,-0.001554314,0.001533854
-9.40E-04,-1.78E-06,8.03E-04,-9.48E-04,-0.00093286,2.32E-03
-0.010995323,-0.002920488,-0.000615054,-0.010974202,-1.10E-02,-0.000627752
0.00080571,-0.002375178,-0.001058397,0.000775836,0.000821374,-0.001568749
-0.000624339,0.001082751,-0.002044648,-0.000658529,-0.000636368,-0.000588293
-0.001062982,-0.003016634,0.000465823,-0.001044449,-0.001045627,-0.011084083
-0.002059243,-0.000434985,0.003233706,-0.00205607,-0.002056326,0.0007731
0.000467409,-0.001044182,-0.005517243,0.000435784,0.000454992,-0.000666693
0.003239117,0.001218906,0.003162592,0.003272179,0.00325671,-0.000923647
-0.005557581,-0.004675705,0.006171598,-0.005683767,-0.005565326,-0.001882528
0.003173669,-0.003336376,0.000487356,0.003223515,0.003199667,0.000434793
0.006200101,-0.002650295,0.002582455,0.006267132,0.006238457,0.003212837
0.000492478,0.000327735,-2.70E-06,0.000484663,0.000495069,-0.005616206
0.002564586,0.000321785,-0.002201816,0.00255599,0.00257746,0.003196779
-2.70E-05,0.001032611,-0.002300089,-4.67E-05,-4.26E-05,0.006418907
-0.002227262,-0.00132804,0.002983097,-0.002235782,-0.002213075,0.000475317
-0.002303314,-0.005763643,0.007045388,-0.002347571,-0.002298633,0.002794062
0.00299204,-0.001351162,-0.001078282,0.003029506,0.003039218,-0.0000505
0.007086933,-0.000122106,0.001846024,0.007110084,0.007168304,-0.002019094
-0.001091201,-0.001402019,0.005253352,-0.001097029,-0.001114671,-0.002365045
0.001852735,0.000320506,-0.005061888,0.001838698,0.001866767,0.003037034
0.005267447,-0.005054051,-0.007602875,0.00528074,0.005343145,0.007173544
-0.005061989,0.000346316,-0.002277747,-0.005080641,-0.0051161,-0.001046817
-0.007642102,-0.00154816,-0.000534523,-0.007653562,-0.007708714,0.001852989
-0.002274813,-0.000595478,0.000826115,-0.002291633,-0.002287318,0.005349461
-0.000544439,0.004606738,0.000678911,-0.00055046,-0.000536446,-0.005172573
0.000821586,0.001943766,-0.005262803,0.000818225,0.000851401,-0.007782854
0.00067855,-0.000401222,-0.00471024,0.000659818,0.000703018,-0.002336969
-0.005273734,-0.000835989,4.85E-05,-0.005260884,-0.005329944,-0.000533841
-0.004734988,0.003652355,0.000965117,-0.004719234,-0.004770264,0.000831768
4.75E-05,0.001201685,9.58E-05,3.53E-05,3.84E-05,0.000666917
0.001071471,0.002352217,-0.001775545,0.000974191,0.000977717,-0.005396425
-1.27E-05,-0.004497876,-0.002633534,7.58E-05,9.32E-05,-0.004683986
-0.001807923,-0.003044232,0.001618645,-0.001840864,-0.00178715,0.0000301
-0.002664343,-0.000189703,-0.000802914,-0.002679228,-0.002668515,0.000980458
0.001630836,-0.001493744,-0.00458044,0.001613585,0.00163418,0.0000774
-0.00081589,-0.001075153,0.000933925,-0.000822575,-0.000815849,-0.001868677
