ABSL ETF,ABSL Nifty50,Franklin India,HDFC Index,ICICI ETF,ICICI Nifty,IDBI Nifty,IDFC ETF,IDFC Nifty,LIC MF,Nippon,SBI Nifty,Tata Index,Taurus Nifty,UTI ETF,UTI Nifty,Nifty 50
-0.000893363,-0.000824206,-0.00081955,-0.000871156,-0.000886111,-0.003117203,-0.000866851,-0.000874884,-0.000878661,-0.000865099,-0.00087063,-0.000877421,-0.000885631,-0.000826697,-0.000886925,-0.000878616,-0.000887585
0.00013502,3.51E-05,0.0001623,0.000153189,0.000150219,-0.001777735,0.000167878,0.000150126,0.000145203,0.000124416,0.00016311,0.000146469,0.000143555,0.000149523,0.000149969,0.000155821,0.000148933
-0.000111095,-0.000138535,-0.000107445,-0.000113121,-0.000120977,-0.001087634,-9.98E-05,9.70E-05,-0.000120634,-0.000128508,-0.000108747,-0.000112919,-0.000120771,-0.000191184,-0.000121277,-0.000129391,0.000232529
-0.001638768,-0.001509932,-0.001656313,-0.001679147,-0.001682202,-0.002601506,-0.001658518,-0.001673162,-0.001665337,-0.001674487,-0.001668565,-0.001645171,-0.001692579,-0.001616794,-0.001682638,-0.001689672,-0.00168583
-0.001622855,-0.001632608,-0.001401554,-0.001439084,-0.001448345,-0.003286771,-0.00137929,-0.001428131,-0.001448346,-0.001439789,-0.001413932,-0.001438065,-0.001404078,-0.001345585,-0.001449011,-0.001429068,-0.000970662
0.001740343,0.001553476,0.001713056,0.001730204,0.001702645,0.003157665,0.001726011,0.001683842,0.001690949,0.001739905,0.001714614,0.001698644,0.001713601,0.001675304,0.00170232,0.001674405,0.001706844
-0.001174732,-0.001079711,-0.001178203,-0.001194068,-0.001200876,-0.002587109,-0.00117482,-0.001181123,-0.001189462,-0.001188644,-0.001187969,-0.001176936,-0.001171843,-0.001132209,-0.00120106,-0.001175527,-0.001203809
0.000719853,0.000653938,0.000737496,0.000727663,0.000728156,-0.001368448,0.000777206,0.000724634,0.000724406,0.000738548,0.000735671,0.000716385,0.000731464,0.000753664,0.000727902,0.00072931,0.000748894
-0.000895598,-0.000851212,-0.00092494,-0.00091972,-0.000941699,-0.001630187,-0.000912651,-0.000919607,-0.000933059,-0.000934578,-0.0009329,-0.000932869,-0.000899798,-0.000821893,-0.00094179,-0.000918703,-0.000944339
0.002275746,0.002454399,0.002356307,0.002337669,0.002329983,0.000672798,0.002400723,0.00231214,0.002345342,0.002367209,0.002353671,0.002362809,0.002386162,0.002313559,0.002329259,0.002307359,0.002335352
0.0002471,0.00027362,0.000265015,0.00025697,0.000253215,-0.000432632,0.000277301,0.000253258,0.000254432,0.000256004,0.000260798,0.000266642,0.00026189,0.000196009,0.000253462,0.000265474,0.00042925
-0.000522201,-0.000644325,-0.00048764,-0.000501129,-0.000504513,0.001263978,-0.000481515,-0.000495113,-0.000510944,-0.000490609,-0.000488869,-0.000520359,-0.000487218,-0.000524126,-0.000504573,-0.000496067,-0.000508276
0.001689182,0.001710458,0.00177274,0.001767927,0.001766145,0.000535941,0.001785253,0.00174509,0.001762952,0.001786025,0.001767959,0.001768461,0.001747256,0.001748732,0.001766452,0.001735235,0.001814446
-0.000401744,-0.000278454,-0.00043585,-0.000446213,-0.000449641,-0.001206325,-0.000426887,-0.000445963,-0.000436377,-0.000432235,-0.000441304,-0.000420522,-0.000444511,-0.000417589,-0.000449248,-0.000438986,-0.00045319
-0.003052891,-0.003218376,-0.003080257,-0.003116769,-0.003126152,-0.001566365,-0.003056423,-0.003082077,-0.00310905,-0.003080408,-0.003092853,-0.003136236,-0.003080016,-0.003065549,-0.00312486,-0.003075755,-0.003136675
2.97E-06,9.64E-06,1.99E-05,1.26E-05,7.49E-06,-0.000552788,3.15E-05,1.79E-06,1.55E-05,3.09E-05,1.62E-05,1.38E-05,-7.55E-07,5.12E-05,7.55E-06,9.68E-06,0.000182164
0.000850561,0.000873431,0.00090303,0.000899153,0.000892862,-0.000149132,0.000913766,0.000877533,0.000891467,0.000903705,0.000903907,0.00090387,0.000878641,0.000903087,0.000893449,0.000866687,0.000896191
7.49E-05,0.000325286,7.75E-05,7.03E-05,6.44E-05,0.002896046,8.74E-05,6.56E-05,8.01E-05,7.51E-05,7.04E-05,9.61E-05,5.30E-05,7.09E-05,6.40E-05,3.19E-05,0.000162323
0.002380272,0.001860691,0.002457264,0.002481317,0.002487555,0.005490201,0.002477559,0.002416778,0.002432929,0.002475053,0.002486356,0.002469381,0.002450508,0.002482565,0.002453678,0.002453149,0.002489772
0.002786396,0.003062026,0.00287709,0.002898147,0.002883397,0.003168163,0.002958427,0.002800822,0.002836224,0.002906191,0.00292297,0.002935259,0.002886475,0.002907366,0.002833984,0.002847128,0.002892069
0.000902289,0.000885842,0.000912803,0.000922152,0.00091673,-0.001164848,0.000942202,0.000897375,0.000893095,0.000917051,0.000925553,0.000927545,0.000915236,0.000970983,0.000898373,0.000894623,0.000921033
-0.000879894,-0.000638118,-0.000863776,-0.000849987,-0.000852367,-0.000222419,-0.000829147,-0.000866901,-0.000861552,-0.000836091,-0.00084324,-0.000830795,-0.000851623,-0.000773,-0.000883103,-0.000889011,-0.000587584
-0.000783118,-0.000570668,-0.000783763,-0.000797239,-0.000809652,-0.003274068,-0.000788312,-0.000807519,-0.00079463,-0.000792427,-0.000797784,-0.000768575,-0.000796404,-0.000806219,-0.000804619,-0.00077657,-0.000767006
-0.00414287,-0.00440872,-0.004177828,-0.004240724,-0.004248952,-0.005362497,-0.004187621,-0.004208608,-0.004267839,-0.004227349,-0.004219422,-0.004254302,-0.004196733,-0.004006347,-0.004262211,-0.00425481,-0.004271285
0.000109022,3.22E-05,8.55E-05,7.94E-05,7.60E-05,0.000648895,9.72E-05,7.60E-05,7.35E-05,8.33E-05,8.68E-05,0.000132866,7.05E-05,0.000110178,6.39E-05,7.07E-05,7.68E-05
-0.001079223,-0.001072106,-0.001085211,-0.001105296,-0.001108194,-0.003372527,-0.001082684,-0.001093657,-0.001103389,-0.001105438,-0.001097405,-0.001096788,-0.001067238,-0.001041896,-0.001100043,-0.001086104,-0.001096402
-0.001785856,-0.00170183,-0.001815145,-0.001838948,-0.001841606,-0.001857497,-0.001819422,-0.001826342,-0.001833512,-0.001824537,-0.001833648,-0.001824311,-0.001799273,-0.001745557,-0.001810507,-0.001819774,-0.001661876
0.000366155,0.000356136,0.000403025,0.000395741,0.000392122,-7.13E-05,0.000415473,0.000389691,0.00039177,0.000404249,0.000404411,0.000390355,0.000379603,0.000372414,0.00038754,0.000390098,0.000392969
-0.004581086,-0.004757545,-0.004615451,-0.004681462,-0.004691815,-0.003672602,-0.004598703,-0.004648063,-0.004699979,-0.004648801,-0.004670845,-0.004668578,-0.004640103,-0.00455889,-0.00467855,-0.004633652,-0.004703431
-0.000661572,-0.000580754,-0.00064648,-0.000659427,-0.000661367,0.002646682,-0.000616502,-0.00065372,-0.000658856,-0.000653538,-0.000650621,-0.000648842,-0.000660757,-0.000640506,-0.000677636,-0.000668053,-0.000666195
-0.001287173,-0.001372073,-0.001310189,-0.001331215,-0.001331834,-0.003902565,-0.001308954,-0.001317706,-0.001334346,-0.001332128,-0.001327545,-0.001344225,-0.001281399,-0.001273387,-0.001312383,-0.001320808,-0.001331544
-0.003516974,-0.003401045,-0.003575848,-0.003613287,-0.003611807,-0.003575779,-0.003598891,-0.003580939,-0.00360034,-0.003605737,-0.003605595,-0.003577638,-0.003650223,-0.003436274,-0.003620743,-0.00359245,-0.003331962
-3.72E-06,-0.000161037,-2.44E-05,-3.64E-05,-4.16E-05,-0.000168434,-1.89E-05,-3.71E-05,-4.54E-05,-1.98E-05,-2.90E-05,6.71E-06,-1.18E-05,7.14E-06,-2.24E-05,0,0.000234955
-0.001293651,-0.001379334,-0.001272835,-0.00131067,-0.001317939,-0.000571114,-0.001218879,-0.001298919,-0.001308377,-0.001256928,-0.001296728,-0.001298245,-0.001283795,-0.001216971,-0.001314257,-0.001305972,-0.001298347
0.003726926,0.003832208,0.003844797,0.003859922,0.003845479,0.00273886,0.003880685,0.003819739,0.003830433,0.003816057,0.003870059,0.003860742,0.003896882,0.003800047,0.003849109,0.003795616,0.003906743
-0.003075831,-0.003182158,-0.003142185,-0.003173197,-0.003168806,-0.005721838,-0.003152598,-0.003143076,-0.003152987,-0.003152009,-0.003165624,-0.003188655,-0.003188214,-0.003054106,-0.003170484,-0.003143794,-0.003190062
0.00097827,0.001129302,0.00104635,0.001047126,0.001043397,0.00169313,0.001119249,0.001030305,0.001041961,0.001052365,0.001050888,0.001066141,0.001058912,0.001018828,0.001028825,0.001024732,0.001155314
-0.001744867,-0.001605892,-0.001812479,-0.001829349,-0.001832961,-0.001189976,-0.00179083,-0.001815798,-0.00180563,-0.001819213,-0.001826229,-0.001791231,-0.001837282,-0.001788505,-0.001839062,-0.001824255,-0.001841336
-0.002242059,-0.002220748,-0.002235371,-0.002278338,-0.002286117,-0.000487162,-0.002172563,-0.00226053,-0.002261541,-0.00225234,-0.002270734,-0.002274001,-0.00227788,-0.002206432,-0.002269957,-0.00226826,-0.002234645
9.56E-05,-0.000159268,8.41E-05,7.45E-05,7.15E-05,-0.001176535,0.000117158,7.23E-05,6.43E-05,8.18E-05,7.58E-05,3.28E-05,8.32E-05,8.03E-05,8.08E-05,9.08E-05,8.06E-05
